domain,hub id,Organic Search Visits,Organic Search Result (%),Organic Contacts ,Referrals Visits,Referrals Visit (%),Referrals (Contacts),Social Media Visits,Social Media Visits (%),Social Media Visits (Contacts),Email Marketing Visits,Email Marketing Visits (%),Email marketing Contacts,Paid Search Visits ,Paid Search Visit (%),Paid Search Contacts,Direct Traffic Visits,Direct Traffic Visits (%),Direct Traffic Contacts ,Other Campaigns Visits,Other Campaign Visits (%),Other Campaigns Contacts 
"www.saleshub.ca","Hub ID: 164795","","0.88%","9","57","3.51%","2","291","1.72%","5","20","0.00%","0","3","0.00%","0","435","1.15%","5","13","1.19%","1"
"www.saleshub.ca","Hub ID: 164795","1,025","","9","57","3.51%","2","291","1.72%","5","20","0.00%","0","3","0.00%","0","435","1.15%","5","13","1.19%","1"
